,ba-m,simple-spread-chance,cit-cit--influence,cit-media-influence,210-thresh
0,3,0.01,0.01,0.01,0
1,3,0.01,0.01,0.05,0
2,3,0.01,0.01,0.1,0
3,3,0.01,0.01,0.25,0
4,3,0.01,0.01,0.5,0
5,3,0.01,0.01,0.75,0
6,3,0.01,0.05,0.01,0
7,3,0.01,0.05,0.05,0
8,3,0.01,0.05,0.1,0
9,3,0.01,0.05,0.25,0
10,3,0.01,0.05,0.5,0
11,3,0.01,0.05,0.75,0
12,3,0.01,0.1,0.01,0
13,3,0.01,0.1,0.05,0
14,3,0.01,0.1,0.1,0
15,3,0.01,0.1,0.25,0
16,3,0.01,0.1,0.5,0
17,3,0.01,0.1,0.75,0
18,3,0.01,0.25,0.01,0
19,3,0.01,0.25,0.05,0
20,3,0.01,0.25,0.1,0
21,3,0.01,0.25,0.25,0
22,3,0.01,0.25,0.5,0
23,3,0.01,0.25,0.75,0
24,3,0.01,0.5,0.01,0
25,3,0.01,0.5,0.05,0
26,3,0.01,0.5,0.1,0
27,3,0.01,0.5,0.25,0
28,3,0.01,0.5,0.5,0
29,3,0.01,0.5,0.75,0
30,3,0.01,0.75,0.01,0
31,3,0.01,0.75,0.05,0
32,3,0.01,0.75,0.1,0
33,3,0.01,0.75,0.25,0
34,3,0.01,0.75,0.5,0
35,3,0.01,0.75,0.75,2
36,3,0.05,0.01,0.01,0
37,3,0.05,0.01,0.05,0
38,3,0.05,0.01,0.1,0
39,3,0.05,0.01,0.25,0
40,3,0.05,0.01,0.5,1
41,3,0.05,0.01,0.75,8
42,3,0.05,0.05,0.01,0
43,3,0.05,0.05,0.05,0
44,3,0.05,0.05,0.1,0
45,3,0.05,0.05,0.25,24
46,3,0.05,0.05,0.5,72
47,3,0.05,0.05,0.75,112
48,3,0.05,0.1,0.01,0
49,3,0.05,0.1,0.05,0
50,3,0.05,0.1,0.1,1
51,3,0.05,0.1,0.25,67
52,3,0.05,0.1,0.5,130
53,3,0.05,0.1,0.75,146
54,3,0.05,0.25,0.01,0
55,3,0.05,0.25,0.05,15
56,3,0.05,0.25,0.1,78
57,3,0.05,0.25,0.25,120
58,3,0.05,0.25,0.5,147
59,3,0.05,0.25,0.75,150
60,3,0.05,0.5,0.01,42
61,3,0.05,0.5,0.05,81
62,3,0.05,0.5,0.1,139
63,3,0.05,0.5,0.25,150
64,3,0.05,0.5,0.5,150
65,3,0.05,0.5,0.75,150
66,3,0.05,0.75,0.01,40
67,3,0.05,0.75,0.05,137
68,3,0.05,0.75,0.1,148
69,3,0.05,0.75,0.25,149
70,3,0.05,0.75,0.5,150
71,3,0.05,0.75,0.75,149
72,3,0.1,0.01,0.01,0
73,3,0.1,0.01,0.05,1
74,3,0.1,0.01,0.1,4
75,3,0.1,0.01,0.25,26
76,3,0.1,0.01,0.5,93
77,3,0.1,0.01,0.75,110
78,3,0.1,0.05,0.01,0
79,3,0.1,0.05,0.05,12
80,3,0.1,0.05,0.1,84
81,3,0.1,0.05,0.25,141
82,3,0.1,0.05,0.5,150
83,3,0.1,0.05,0.75,150
84,3,0.1,0.1,0.01,0
85,3,0.1,0.1,0.05,66
86,3,0.1,0.1,0.1,106
87,3,0.1,0.1,0.25,149
88,3,0.1,0.1,0.5,146
89,3,0.1,0.1,0.75,150
90,3,0.1,0.25,0.01,68
91,3,0.1,0.25,0.05,132
92,3,0.1,0.25,0.1,144
93,3,0.1,0.25,0.25,150
94,3,0.1,0.25,0.5,150
95,3,0.1,0.25,0.75,150
96,3,0.1,0.5,0.01,106
97,3,0.1,0.5,0.05,150
98,3,0.1,0.5,0.1,150
99,3,0.1,0.5,0.25,150
100,3,0.1,0.5,0.5,150
101,3,0.1,0.5,0.75,150
102,3,0.1,0.75,0.01,123
103,3,0.1,0.75,0.05,150
104,3,0.1,0.75,0.1,150
105,3,0.1,0.75,0.25,150
106,3,0.1,0.75,0.5,150
107,3,0.1,0.75,0.75,149
108,3,0.25,0.01,0.01,0
109,3,0.25,0.01,0.05,75
110,3,0.25,0.01,0.1,139
111,3,0.25,0.01,0.25,149
112,3,0.25,0.01,0.5,147
113,3,0.25,0.01,0.75,146
114,3,0.25,0.05,0.01,42
115,3,0.25,0.05,0.05,143
116,3,0.25,0.05,0.1,149
117,3,0.25,0.05,0.25,150
118,3,0.25,0.05,0.5,150
119,3,0.25,0.05,0.75,150
120,3,0.25,0.1,0.01,125
121,3,0.25,0.1,0.05,149
122,3,0.25,0.1,0.1,150
123,3,0.25,0.1,0.25,150
124,3,0.25,0.1,0.5,149
125,3,0.25,0.1,0.75,150
126,3,0.25,0.25,0.01,143
127,3,0.25,0.25,0.05,150
128,3,0.25,0.25,0.1,150
129,3,0.25,0.25,0.25,150
130,3,0.25,0.25,0.5,150
131,3,0.25,0.25,0.75,150
132,3,0.25,0.5,0.01,150
133,3,0.25,0.5,0.05,150
134,3,0.25,0.5,0.1,150
135,3,0.25,0.5,0.25,150
136,3,0.25,0.5,0.5,150
137,3,0.25,0.5,0.75,150
138,3,0.25,0.75,0.01,150
139,3,0.25,0.75,0.05,150
140,3,0.25,0.75,0.1,148
141,3,0.25,0.75,0.25,150
142,3,0.25,0.75,0.5,150
143,3,0.25,0.75,0.75,150
144,3,0.5,0.01,0.01,24
145,3,0.5,0.01,0.05,141
146,3,0.5,0.01,0.1,150
147,3,0.5,0.01,0.25,148
148,3,0.5,0.01,0.5,150
149,3,0.5,0.01,0.75,150
150,3,0.5,0.05,0.01,144
151,3,0.5,0.05,0.05,150
152,3,0.5,0.05,0.1,150
153,3,0.5,0.05,0.25,150
154,3,0.5,0.05,0.5,150
155,3,0.5,0.05,0.75,150
156,3,0.5,0.1,0.01,146
157,3,0.5,0.1,0.05,150
158,3,0.5,0.1,0.1,150
159,3,0.5,0.1,0.25,149
160,3,0.5,0.1,0.5,150
161,3,0.5,0.1,0.75,150
162,3,0.5,0.25,0.01,150
163,3,0.5,0.25,0.05,150
164,3,0.5,0.25,0.1,150
165,3,0.5,0.25,0.25,150
166,3,0.5,0.25,0.5,149
167,3,0.5,0.25,0.75,150
168,3,0.5,0.5,0.01,150
169,3,0.5,0.5,0.05,150
170,3,0.5,0.5,0.1,149
171,3,0.5,0.5,0.25,150
172,3,0.5,0.5,0.5,150
173,3,0.5,0.5,0.75,150
174,3,0.5,0.75,0.01,150
175,3,0.5,0.75,0.05,150
176,3,0.5,0.75,0.1,150
177,3,0.5,0.75,0.25,150
178,3,0.5,0.75,0.5,150
179,3,0.5,0.75,0.75,150
180,3,0.75,0.01,0.01,105
181,3,0.75,0.01,0.05,150
182,3,0.75,0.01,0.1,150
183,3,0.75,0.01,0.25,150
184,3,0.75,0.01,0.5,150
185,3,0.75,0.01,0.75,121
186,3,0.75,0.05,0.01,146
187,3,0.75,0.05,0.05,150
188,3,0.75,0.05,0.1,149
189,3,0.75,0.05,0.25,149
190,3,0.75,0.05,0.5,150
191,3,0.75,0.05,0.75,150
192,3,0.75,0.1,0.01,150
193,3,0.75,0.1,0.05,150
194,3,0.75,0.1,0.1,149
195,3,0.75,0.1,0.25,149
196,3,0.75,0.1,0.5,149
197,3,0.75,0.1,0.75,150
198,3,0.75,0.25,0.01,150
199,3,0.75,0.25,0.05,150
200,3,0.75,0.25,0.1,150
201,3,0.75,0.25,0.25,149
202,3,0.75,0.25,0.5,150
203,3,0.75,0.25,0.75,148
204,3,0.75,0.5,0.01,150
205,3,0.75,0.5,0.05,150
206,3,0.75,0.5,0.1,150
207,3,0.75,0.5,0.25,150
208,3,0.75,0.5,0.5,149
209,3,0.75,0.5,0.75,150
210,3,0.75,0.75,0.01,150
211,3,0.75,0.75,0.05,150
212,3,0.75,0.75,0.1,150
213,3,0.75,0.75,0.25,149
214,3,0.75,0.75,0.5,150
215,3,0.75,0.75,0.75,149
216,10,0.01,0.01,0.01,0
217,10,0.01,0.01,0.05,0
218,10,0.01,0.01,0.1,0
219,10,0.01,0.01,0.25,0
220,10,0.01,0.01,0.5,0
221,10,0.01,0.01,0.75,0
222,10,0.01,0.05,0.01,0
223,10,0.01,0.05,0.05,0
224,10,0.01,0.05,0.1,0
225,10,0.01,0.05,0.25,0
226,10,0.01,0.05,0.5,0
227,10,0.01,0.05,0.75,0
228,10,0.01,0.1,0.01,0
229,10,0.01,0.1,0.05,0
230,10,0.01,0.1,0.1,0
231,10,0.01,0.1,0.25,0
232,10,0.01,0.1,0.5,0
233,10,0.01,0.1,0.75,0
234,10,0.01,0.25,0.01,0
235,10,0.01,0.25,0.05,0
236,10,0.01,0.25,0.1,0
237,10,0.01,0.25,0.25,0
238,10,0.01,0.25,0.5,0
239,10,0.01,0.25,0.75,0
240,10,0.01,0.5,0.01,0
241,10,0.01,0.5,0.05,0
242,10,0.01,0.5,0.1,0
243,10,0.01,0.5,0.25,0
244,10,0.01,0.5,0.5,0
245,10,0.01,0.5,0.75,0
246,10,0.01,0.75,0.01,0
247,10,0.01,0.75,0.05,0
248,10,0.01,0.75,0.1,0
249,10,0.01,0.75,0.25,0
250,10,0.01,0.75,0.5,0
251,10,0.01,0.75,0.75,0
252,10,0.05,0.01,0.01,0
253,10,0.05,0.01,0.05,0
254,10,0.05,0.01,0.1,0
255,10,0.05,0.01,0.25,0
256,10,0.05,0.01,0.5,0
257,10,0.05,0.01,0.75,2
258,10,0.05,0.05,0.01,0
259,10,0.05,0.05,0.05,0
260,10,0.05,0.05,0.1,0
261,10,0.05,0.05,0.25,3
262,10,0.05,0.05,0.5,87
263,10,0.05,0.05,0.75,109
264,10,0.05,0.1,0.01,0
265,10,0.05,0.1,0.05,0
266,10,0.05,0.1,0.1,0
267,10,0.05,0.1,0.25,33
268,10,0.05,0.1,0.5,118
269,10,0.05,0.1,0.75,130
270,10,0.05,0.25,0.01,1
271,10,0.05,0.25,0.05,57
272,10,0.05,0.25,0.1,80
273,10,0.05,0.25,0.25,136
274,10,0.05,0.25,0.5,150
275,10,0.05,0.25,0.75,150
276,10,0.05,0.5,0.01,37
277,10,0.05,0.5,0.05,100
278,10,0.05,0.5,0.1,113
279,10,0.05,0.5,0.25,148
280,10,0.05,0.5,0.5,148
281,10,0.05,0.5,0.75,149
282,10,0.05,0.75,0.01,97
283,10,0.05,0.75,0.05,122
284,10,0.05,0.75,0.1,137
285,10,0.05,0.75,0.25,148
286,10,0.05,0.75,0.5,150
287,10,0.05,0.75,0.75,149
288,10,0.1,0.01,0.01,0
289,10,0.1,0.01,0.05,1
290,10,0.1,0.01,0.1,3
291,10,0.1,0.01,0.25,57
292,10,0.1,0.01,0.5,93
293,10,0.1,0.01,0.75,125
294,10,0.1,0.05,0.01,0
295,10,0.1,0.05,0.05,11
296,10,0.1,0.05,0.1,55
297,10,0.1,0.05,0.25,137
298,10,0.1,0.05,0.5,148
299,10,0.1,0.05,0.75,149
300,10,0.1,0.1,0.01,0
301,10,0.1,0.1,0.05,43
302,10,0.1,0.1,0.1,128
303,10,0.1,0.1,0.25,145
304,10,0.1,0.1,0.5,150
305,10,0.1,0.1,0.75,150
306,10,0.1,0.25,0.01,97
307,10,0.1,0.25,0.05,130
308,10,0.1,0.25,0.1,133
309,10,0.1,0.25,0.25,143
310,10,0.1,0.25,0.5,150
311,10,0.1,0.25,0.75,150
312,10,0.1,0.5,0.01,113
313,10,0.1,0.5,0.05,135
314,10,0.1,0.5,0.1,147
315,10,0.1,0.5,0.25,150
316,10,0.1,0.5,0.5,149
317,10,0.1,0.5,0.75,150
318,10,0.1,0.75,0.01,94
319,10,0.1,0.75,0.05,141
320,10,0.1,0.75,0.1,149
321,10,0.1,0.75,0.25,149
322,10,0.1,0.75,0.5,148
323,10,0.1,0.75,0.75,150
324,10,0.25,0.01,0.01,2
325,10,0.25,0.01,0.05,64
326,10,0.25,0.01,0.1,134
327,10,0.25,0.01,0.25,149
328,10,0.25,0.01,0.5,150
329,10,0.25,0.01,0.75,149
330,10,0.25,0.05,0.01,31
331,10,0.25,0.05,0.05,143
332,10,0.25,0.05,0.1,148
333,10,0.25,0.05,0.25,150
334,10,0.25,0.05,0.5,149
335,10,0.25,0.05,0.75,150
336,10,0.25,0.1,0.01,138
337,10,0.25,0.1,0.05,135
338,10,0.25,0.1,0.1,150
339,10,0.25,0.1,0.25,149
340,10,0.25,0.1,0.5,150
341,10,0.25,0.1,0.75,150
342,10,0.25,0.25,0.01,124
343,10,0.25,0.25,0.05,150
344,10,0.25,0.25,0.1,150
345,10,0.25,0.25,0.25,150
346,10,0.25,0.25,0.5,150
347,10,0.25,0.25,0.75,150
348,10,0.25,0.5,0.01,141
349,10,0.25,0.5,0.05,148
350,10,0.25,0.5,0.1,150
351,10,0.25,0.5,0.25,150
352,10,0.25,0.5,0.5,122
353,10,0.25,0.5,0.75,150
354,10,0.25,0.75,0.01,149
355,10,0.25,0.75,0.05,150
356,10,0.25,0.75,0.1,150
357,10,0.25,0.75,0.25,150
358,10,0.25,0.75,0.5,148
359,10,0.25,0.75,0.75,150
360,10,0.5,0.01,0.01,30
361,10,0.5,0.01,0.05,144
362,10,0.5,0.01,0.1,150
363,10,0.5,0.01,0.25,150
364,10,0.5,0.01,0.5,150
365,10,0.5,0.01,0.75,150
366,10,0.5,0.05,0.01,125
367,10,0.5,0.05,0.05,147
368,10,0.5,0.05,0.1,150
369,10,0.5,0.05,0.25,150
370,10,0.5,0.05,0.5,150
371,10,0.5,0.05,0.75,150
372,10,0.5,0.1,0.01,149
373,10,0.5,0.1,0.05,150
374,10,0.5,0.1,0.1,150
375,10,0.5,0.1,0.25,150
376,10,0.5,0.1,0.5,150
377,10,0.5,0.1,0.75,149
378,10,0.5,0.25,0.01,136
379,10,0.5,0.25,0.05,150
380,10,0.5,0.25,0.1,150
381,10,0.5,0.25,0.25,150
382,10,0.5,0.25,0.5,150
383,10,0.5,0.25,0.75,150
384,10,0.5,0.5,0.01,150
385,10,0.5,0.5,0.05,150
386,10,0.5,0.5,0.1,150
387,10,0.5,0.5,0.25,150
388,10,0.5,0.5,0.5,150
389,10,0.5,0.5,0.75,150
390,10,0.5,0.75,0.01,150
391,10,0.5,0.75,0.05,150
392,10,0.5,0.75,0.1,150
393,10,0.5,0.75,0.25,150
394,10,0.5,0.75,0.5,149
395,10,0.5,0.75,0.75,150
396,10,0.75,0.01,0.01,120
397,10,0.75,0.01,0.05,145
398,10,0.75,0.01,0.1,150
399,10,0.75,0.01,0.25,150
400,10,0.75,0.01,0.5,150
401,10,0.75,0.01,0.75,149
402,10,0.75,0.05,0.01,123
403,10,0.75,0.05,0.05,150
404,10,0.75,0.05,0.1,150
405,10,0.75,0.05,0.25,150
406,10,0.75,0.05,0.5,150
407,10,0.75,0.05,0.75,150
408,10,0.75,0.1,0.01,139
409,10,0.75,0.1,0.05,150
410,10,0.75,0.1,0.1,150
411,10,0.75,0.1,0.25,149
412,10,0.75,0.1,0.5,150
413,10,0.75,0.1,0.75,150
414,10,0.75,0.25,0.01,123
415,10,0.75,0.25,0.05,150
416,10,0.75,0.25,0.1,150
417,10,0.75,0.25,0.25,150
418,10,0.75,0.25,0.5,150
419,10,0.75,0.25,0.75,150
420,10,0.75,0.5,0.01,137
421,10,0.75,0.5,0.05,150
422,10,0.75,0.5,0.1,150
423,10,0.75,0.5,0.25,150
424,10,0.75,0.5,0.5,150
425,10,0.75,0.5,0.75,149
426,10,0.75,0.75,0.01,131
427,10,0.75,0.75,0.05,150
428,10,0.75,0.75,0.1,150
429,10,0.75,0.75,0.25,150
430,10,0.75,0.75,0.5,150
431,10,0.75,0.75,0.75,150
